"ID";"Type";"SKU";"Name";"Published";"Is featured?";"Visibility in catalog";"Short description";"Description";"Date sale price starts";"Date sale price ends";"Tax status";"Tax class";"In stock?";"Stock";"Low stock amount";"Backorders allowed?";"Sold individually?";"Weight (unit)";"Length (unit)";"Width (unit)";"Height (unit)";"Allow customer reviews?";"Purchase Note";"Sale price";"Regular price";"Categories";"Tags";"Shipping class";"Images";"Download limit";"Download expiry days";"Parent";"Grouped products";"Upsells";"Cross-sells";"External URL";"Button text";"Position";"Attribute 1 visible";"Attribute 1 global";"Attribute 1 name";"Attribute 1 value(s)";"Attribute 2 visible";"Attribute 2 global";"Attribute 2 name";"Attribute 2 value(s)";"Attribute 3 visible";"Attribute 3 global";"Attribute 3 name";"Attribute 3 value(s)";"Attribute 4 visible";"Attribute 4 global";"Attribute 4 name";"Attribute 4 value(s)";"Attribute 5 visible";"Attribute 5 global";"Attribute 5 name";"Attribute 5 value(s)";"Attribute 6 visible";"Attribute 6 global";"Attribute 6 name";"Attribute 6 value(s)";"Attribute 7 visible";"Attribute 7 global";"Attribute 7 name";"Attribute 7 value(s)";"Attribute 8 visible";"Attribute 8 global";"Attribute 8 name";"Attribute 8 value(s)";"Attribute 9 visible";"Attribute 9 global";"Attribute 9 name";"Attribute 9 value(s)";"Attribute 10 visible";"Attribute 10 global";"Attribute 10 name";"Attribute 10 value(s)";"Attribute 11 visible";"Attribute 11 global";"Attribute 11 name";"Attribute 11 value(s)";"Attribute 12 visible";"Attribute 12 global";"Attribute 12 name";"Attribute 12 value(s)";"Attribute 13 visible";"Attribute 13 global";"Attribute 13 name";"Attribute 13 value(s)";"Attribute 14 visible";"Attribute 14 global";"Attribute 14 name";"Attribute 14 value(s)";"Attribute 15 visible";"Attribute 15 global";"Attribute 15 name";"Attribute 15 value(s)";"Attribute 16 visible";"Attribute 16 global";"Attribute 16 name";"Attribute 16 value(s)";"Attribute 17 visible";"Attribute 17 global";"Attribute 17 name";"Attribute 17 value(s)";"Attribute 18 visible";"Attribute 18 global";"Attribute 18 name";"Attribute 18 value(s)";"Attribute 19 visible";"Attribute 19 global";"Attribute 19 name";"Attribute 19 value(s)";"Attribute 20 visible";"Attribute 20 global";"Attribute 20 name";"Attribute 20 value(s)";"Attribute 21 visible";"Attribute 21 global";"Attribute 21 name";"Attribute 21 value(s)";"Attribute 22 visible";"Attribute 22 global";"Attribute 22 name";"Attribute 22 value(s)";"Attribute 23 visible";"Attribute 23 global";"Attribute 23 name";"Attribute 23 value(s)";"Attribute 24 visible";"Attribute 24 global";"Attribute 24 name";"Attribute 24 value(s)";"Attribute 25 visible";"Attribute 25 global";"Attribute 25 name";"Attribute 25 value(s)";"Attribute 26 visible";"Attribute 26 global";"Attribute 26 name";"Attribute 26 value(s)";"Attribute 27 visible";"Attribute 27 global";"Attribute 27 name";"Attribute 27 value(s)";"Attribute 28 visible";"Attribute 28 global";"Attribute 28 name";"Attribute 28 value(s)";"Attribute 29 visible";"Attribute 29 global";"Attribute 29 name";"Attribute 29 value(s)";"Attribute 30 visible";"Attribute 30 global";"Attribute 30 name";"Attribute 30 value(s)";"Attribute 31 visible";"Attribute 31 global";"Attribute 31 name";"Attribute 31 value(s)";"Attribute 32 visible";"Attribute 32 global";"Attribute 32 name";"Attribute 32 value(s)";"Attribute 33 visible";"Attribute 33 global";"Attribute 33 name";"Attribute 33 value(s)";"Attribute 34 visible";"Attribute 34 global";"Attribute 34 name";"Attribute 34 value(s)"
"";"variable";"1466";"Угловой диван «Консул 2020/2020(-С)» (3мL/R901R/L)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;189.0;3000.0;1900.0;960.0;1;"";"";"";"Мягкая мебель > Диваны";"";"";"";"";"";"";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"189 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"3000 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";1;1;"Класс";"люкс";1;1;"Количество сидячих мест";"4";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"4,22919 м3";1;1;"Основной цвет";"бежевый; оранжевый; вишня";1;1;"По габаритам";"большие; широкие";1;1;"По наличию трансформации";"раскладной";1;1;"По размещению угла";"левое; правое";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; ретро";1;1;"Тип";"диван угловой";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1900 мм";1;1;"Ширина спального места (мм)";"1400";"";"";"";"";"";"";"";"";"";"";"";""
"";"variation";4201;"Угловой диван «Консул 2020/2020(-С)» (3мL/R901R/L)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;189.0;3000.0;1900.0;960.0;1;"";"";349656.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3mr901l_31230(0)-31230(0)_25gr-1.jpg";"";"";"1466";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"189 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"3000 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";1;1;"Класс";"люкс";1;1;"Количество сидячих мест";"4";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"4,22919 м3";1;1;"Основной цвет";"бежевый; оранжевый; вишня";1;1;"По габаритам";"большие; широкие";1;1;"По наличию трансформации";"раскладной";1;1;"По размещению угла";"левое; правое";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; ретро";1;1;"Тип";"диван угловой";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1900 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"ткань";1;1;"Обивка";"25 группа";"";"";"";""
"";"variation";4202;"Угловой диван «Консул 2020/2020(-С)» (3мL/R901R/L)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;189.0;3000.0;1900.0;960.0;1;"";"";356520.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3mr901l_1060_120gr-1.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/4202/konsul_23_3mr901l_1068_120gr.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/4202/konsul_23_2001_r46_120gr5dea33f2595ef.jpg";"";"";"1466";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"189 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"3000 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";1;1;"Класс";"люкс";1;1;"Количество сидячих мест";"4";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"4,22919 м3";1;1;"Основной цвет";"бежевый; оранжевый; вишня";1;1;"По габаритам";"большие; широкие";1;1;"По наличию трансформации";"раскладной";1;1;"По размещению угла";"левое; правое";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; ретро";1;1;"Тип";"диван угловой";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1900 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"натуральная кожа";1;1;"Обивка";"120 группа";"";"";"";""
"";"variable";"1464";"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";"";"";"Мягкая мебель > Диваны";"";"";"";"";"";"";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";"";"";"";"";"";"";"";"";"";"";"";""
"";"variation";4198;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";147593.0;196790.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3m_1061_120gr.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/4198/konsul_23_3m_1068_120gr.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"натуральная кожа";1;1;"Обивка";"120 группа";1;1;"Цвет";"Дуб рустикаль"
"";"variation";4199;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";133178.0;177570.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3m_31234(0)-31234(0)_25gr.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"ткань";1;1;"Обивка";"25 группа";1;1;"Цвет";"Слоновая кость с золочением"
"";"variation";4200;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";171480.0;228640.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3m_2020_140gr.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"натуральная кожа";1;1;"Обивка";"140 группа";1;1;"Цвет";"Слоновая кость с золочением"
"";"variation";8359;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";110820.0;147760.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_31220-31220_20gr5dea17eec5b785e1320e594c27.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/8359/konsul_23_31221-31221_20gr5dea17f7e5a365e1320ffbbea6.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/8359/konsul_23_31222-31222_20gr5dea17fc681955e132107ef066.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"ткань";1;1;"Обивка";"20 группа";1;1;"Цвет";"Дуб рустикаль"
"";"variation";8360;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";112913.0;150550.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_3M_8321-8320_23gr5e1035946f0c05e13214cd5358.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"ткань";1;1;"Обивка";"23 группа";1;1;"Цвет";"Дуб рустикаль"
"";"variation";8361;"3-х местный диван «Консул 2020/2020(-С)» (3м)";1;"";"visible";"";"";"";"";"none";"";0;"";"";0;0;103.0;2100.0;1000.0;960.0;1;"";130703.0;174270.0;"Мягкая мебель > Диваны";"";"";"https://pinskdrev.ru/web/catalogfiles/catalog/offers/konsul_23_780-7800_224gr5dea1c5eda6205e1322a0bbd6e.jpg, https://pinskdrev.ru/web/catalogfiles/photogallery/Offer/8361/konsul_23_31214-31214_24gr-b-25dea19168deae5e1322ae921f6.jpg";"";"";"1464";"";"";"";"";"";"";1;1;"Боковины";"несъемные";1;1;"Вес";"103 кг";1;1;"Высота (мм)";"960 мм";1;1;"Длина (мм)";"2100 мм";1;1;"Длина спального места (мм)";"1900";1;1;"Емкость для постельных принадлежностей";"нет";"";"";"";"";1;1;"Количество сидячих мест";"3";1;1;"Количество спальных мест";"2-спальное";1;1;"Материал изготовления каркаса";"массив дерева; ДСП; фанера; пенополиуретан эластичный";1;1;"Материал ножек";"дерево";1;1;"Материал обивки";"натуральная кожа; ткань";1;1;"Механизм трансформации";"трансформер";1;1;"Назначение";"в гостиную; в кабинет; для отдыха; для офиса";1;1;"Наличие оттоманки";"нет";1;1;"Наполнение";"пенополиуретан эластичный";1;1;"Наполнитель сидения";"эластичный пенополиуретан";1;1;"Наполнитель спинки";"эластичный пенополиуретан";1;1;"Объем";"2,11915 м3";1;1;"Основной цвет";"зелёный; принт; коричневый; бежевый";1;1;"По габаритам";"длинные; большие";1;1;"По наличию трансформации";"раскладной";"";"";"";"";1;1;"Подлокотники";"мягкие; несъёмные";1;1;"Подушки в комплекте";"нет";1;1;"Система комплектации";"не модульная";1;1;"Стиль";"классика; дачный; кантри";1;1;"Тип";"3-х местный диван";1;1;"Цвет декоративных элементов";"рустикаль (B-4); черешня (P-46); античная бронза; слоновая кость (B-2), золото; слоновая кость (B-2), бронза; слоновая кость (B-2), серебро; слоновая кость (B-2)";1;1;"Ширина (мм)";"1000 мм";1;1;"Ширина спального места (мм)";"1400";1;1;"Материал";"ткань";1;1;"Обивка";"24 группа";1;1;"Цвет";"Слоновая кость с золочением"
